jobs,skills,employment,coverage
Advertising and Promotions Managers,"{'Monitor trade journals and professional literature for media planning trends (Data & Analytics > Market Research & Opportunity Analysis > Digital Trend & Competitor Monitoring)', 'Prepare campaign budgets and cost estimates for plan development (Finance & Accounting > Budget Management > Campaign Budget Preparation & Cost Estimation)', 'Review and edit promotional materials for specification compliance (Content & Publishing > Promotional Content Review & Editing)', 'Coordinate media placements for advertising dissemination (Content & Publishing > Digital Marketing Campaign Management > Media Placement Coordination)', 'Analyze promotion campaign performance and cost effectiveness (Data & Analytics > Campaign Performance Tracking)', 'Conduct outreach to organizations to explain and promote services (Content & Publishing > Organizational Outreach & Services Promotion)'}",27000,0.0071174377224199285
Computer and Information Systems Managers,"{'Monitor technology advances and trends (Information Technology > IT Operations > Technology Trends Monitoring & Assessment)', 'Assign and review work of IT staff (Information Technology → IT Operations → IT Team Task Assignment & Review)', 'Evaluate data processing proposals for feasibility and requirements (Information Technology > Systems Analysis & Solution Design > Feasibility Assessment & Requirements Analysis)', 'Review project plans and coordinate project activities (Operations & Logistics > Project Planning & Feasibility > Project Plan Review & Activity Coordination)', 'Develop IT information resource plans with security, control, and disaster recovery (Information Technology > IT Operations > IT Resource Planning & Architecture)', 'Manage operational budgets and control expenditures (Finance & Accounting > Budget Management > Operational Budget Approval & Management)', 'Prepare and review operational and project progress reports (Information Technology > IT Operations > Operational & Project Progress Reporting)', 'Manage IT backup, security, and user support systems (Information Technology > IT Operations > Backup, Security & User Support Systems Management)', 'Review and approve systems documentation and programs before implementation (root > Information Technology > IT Operations > Project Change Control & Approval)'}",667100,0.010676156583629894
Writers and Authors,"{'Analyze marketing research to inform product promotion strategy (Data & Analytics > Market Research & Opportunity Analysis > Product & Market Opportunity Research)', 'Present creative concepts to clients. (Content & Publishing > Creative Concept Presentation & Pitching)', 'Adapt message tone and language to product and medium (Content & Publishing > Audience & MediumSpecific Messaging Adaptation)', 'Research product features and conduct interviews to identify promotional angles (Data & Analytics > Market Research & Opportunity Analysis > Product & Market Opportunity Research)', 'Write marketing and informational copy (articles, bulletins, sales letters, speeches) (Content & Publishing > Marketing & Promotional Copywriting)'}",135400,0.005931198102016607
Civil Engineers,"{'Analyze topographic/geologic data and technical maps/drawings (Operations & Logistics > Geospatial Interpretation & Navigation > Topographic & Geologic Data Analysis)', 'Design sustainable and energyefficient civil structures (Operations & Logistics > Civil & Structural Design > Sustainable & EnergyEfficient Structural Design)', 'Compute engineering design parameters (load, flow, stress) (Operations & Logistics > Civil & Structural Design > Structural & Hydraulic Design Parameter Calculation)', 'Estimate materials, equipment, and labor costs for feasibility (Operations & Logistics > Project Planning & Feasibility > Project Materials, Equipment & Labor Cost Estimation)', 'Design transportation or hydraulic systems using CAD (Operations & Logistics > Civil & Structural Design > Transportation & Hydraulic Systems Design (CAD))'}",368900,0.005931198102016607
"Energy Engineers, Except Wind and Solar","{'Identify and recommend energy efficiency strategies (Operations & Logistics > Project Planning & Feasibility > Energy Efficiency Strategy Identification & Recommendation)', 'Prepare energy engineering project reports and documentation (Content & Publishing > Technical Presentations & Reporting > Energy Project Reporting & Documentation)', 'Verify energy bills and meter readings (Data & Analytics > Resource & Energy Consumption Analysis > Energy Billing & Meter Verification)', 'Monitor and analyze energy consumption (Data & Analytics > Resource & Energy Consumption Analysis)', 'Develop and deploy building energy management control routines (Operations & Logistics > Process Control & Parameter Adjustment > Building Energy Management Routine Development & Installation)', 'Promote awareness and adoption of renewable energy solutions (Content & Publishing > Sustainability & Renewable Energy Outreach)'}",158800,0.0071174377224199285
Art Directors,"{'Define layout and presentation approach, specifying multimedia elements (Content & Publishing > Layout & Presentation Specification (Multimedia))', 'Create custom illustrations and graphics (Content & Publishing > Digital Illustration & Graphic Creation)', 'Review visual materials for standards and specification compliance (Quality Management > Standards Compliance Review & Remediation Recommendations)', 'Review and approve creative materials and print proofs (Content & Publishing > Creative Asset Review & Approval)', 'Present final layout designs for client approval (Content & Publishing > Creative Asset Review & Approval)', 'Research design and production technology trends (Content & Publishing > Design & Production Technology Trend Research)', 'Manage project accounts, budgets, and schedules (Operations & Logistics > Project Planning & Feasibility > Project Budget & Schedule Management)', 'Assemble print layouts and specify typography for typesetting (Content & Publishing > Print Layout & Typography Specification)'}",135000,0.009489916963226572
Aerospace Engineers,"{'Maintain technical performance report records (Administration & Office > Records Management > Technical Operations Records)', 'Design or modify aerospace systems to reduce emissions (Operations & Logistics > Engineering Design Modeling & Evaluation > LowEmission Systems Design & Optimization)', 'Write technical documentation for engineers, management and customers (Content & Publishing > Technical Writing & Standards Compliance)', 'Develop computational models to evaluate and refine engineering designs (Operations & Logistics > Engineering Design Modeling & Evaluation > Alternate Design & Process Modeling & Testing)', 'Define aerospace product design criteria (methods, costs, standards, schedule) (Operations & Logistics > Engineering Design Modeling & Evaluation > Aerospace Design Criteria Definition (methods, costs, standards, schedule))'}",71600,0.005931198102016607
Architectural and Civil Drafters,"{'Verify material dimensions and number items in bills of materials (Operations & Logistics > Civil & Structural Design > Materials Dimension Verification & Bill of Materials Numbering)', 'Draft topographic maps and subsurface profiles from surveys (Operations & Logistics > Civil & Structural Design > Topographic & Subsurface Profile Drafting)', 'Plan interior space layouts for commercial buildings using CAD tools (root > Operations & Logistics > Civil & Structural Design > Interior Space Planning & Layout (CAD))', 'Plan drafting workflow and presentation methods (orthographic/isometric) (Operations & Logistics > Civil & Structural Design > Drafting Workflow & Presentation Method Planning)', 'Produce architectural and structural scale drawings (Operations & Logistics > Civil & Structural Design > Architectural & Structural Drafting)', 'Draft architectural and civil construction drawings (Operations & Logistics > Civil & Structural Design > Architectural & Structural Drafting)', 'Analyze building codes and site requirements for design implications (Compliance & Legal > Regulatory Compliance > Zoning & Building Code Analysis)', 'Produce technical drawings using CAD or manual drafting tools (Operations & Logistics > Civil & Structural Design > Architectural & Structural Drafting)', 'Prepare colored design renderings for client presentations (Operations & Logistics > Civil & Structural Design > Final Architectural Construction Documents & Visualizations)', 'Coordinate structural, electrical, and mechanical designs and plan graphical presentation of building plans (Operations & Logistics > Civil & Structural Design > Drafting Workflow & Presentation Method Planning)'}",110500,0.011862396204033215
Computer Programmers,"{'Write, review, and refactor software programs (Information Technology > Systems Analysis & Solution Design > Application Development & Customization)', 'Develop websites (Information Technology > Web & Application Administration > Website Development & Maintenance)', 'Diagnose system and peripheral responsiveness to software instructions (Information Technology > IT Support > Systems & Peripheral Diagnostics)', 'Program and maintain systems software (Information Technology > IT Operations > Systems Software Programming & Maintenance)', 'Assign, coordinate, and review programming team work. (Information Technology > IT Operations > IT Team Task Assignment & Review)', 'Refactor, repair, and extend existing software (Information Technology > IT Operations > Systems Software Programming & Maintenance)', 'Develop enduser instructions and manuals (Information Technology > IT Support > User Training & Documentation Development)', 'Debug and correct program code errors (Information Technology > Systems Analysis & Solution Design > Debugging & Code Correction)', 'Document software development and revisions with code comments (Information Technology > Systems Analysis & Solution Design > Software Documentation & Code Commenting)', 'Develop, update, and maintain software for operational data and equipment control (Information Technology > Systems Analysis & Solution Design > Application Development & Customization)', 'Develop program flowcharts and translate them into code specifications (Information Technology > Systems Analysis & Solution Design > Program Logic Flowcharting & Specification)'}",121200,0.013048635824436536
Medical Transcriptionists,"{'Perform medical data entry and retrieval for records and physician communication (Administration & Office > Records Management > Medical Transcription > Medical Data Entry & Retrieval)', 'Transcribe medical dictation into clinical reports (Administration & Office > Records Management > Medical Transcription)', 'Translate and standardize medical abbreviations for accurate records (Administration & Office > Records Management > Medical Transcription > Medical Abbreviation Expansion & Standardization)', 'Deliver transcribed medical reports for review and record inclusion (Administration & Office > Records Management > Medical Transcription > Medical Document Production)', 'Disambiguate homonyms and verify medical terminology using authoritative references (Administration & Office > Records Management > Medical Transcription > Medical Terminology Verification & Error Detection)', 'Maintain clinical records and databases (Administration & Office > Records Management > Clinical Records Database Setup & Maintenance)', 'Edit medical transcriptions for grammar, clarity, consistency, and terminology (Administration & Office > Records Management > Medical Transcription > Medical Transcription Editing & Proofreading)', 'Produce medical documents and reports from dictation (Administration & Office > Records Management > Medical Transcription > Medical Document Production)'}",43900,0.009489916963226572
Medical and Health Services Managers,"{'Monitor industry advances, regulations, and financing/technology trends in healthcare (Administration & Office > Human Resources Administration > Professional Literature & Trends Monitoring)', 'Manage fiscal operations (Finance & Accounting > Fiscal Operations Management)', 'Allocate staff schedules and assignments based on workload and resources (Administration & Office > Scheduling & Notifications > Workforce Scheduling & Allocation)', 'Prepare program and quality initiative status reports (Administration & Office > General Office Administration > Administrative Reports & Paperwork Preparation)', 'Analyze facility operations data to improve planning, cash and risk management, and service utilization (Data & Analytics > Healthcare Facility Operations & Utilization Analysis)', 'Develop and maintain electronic records management systems (Administration & Office > Records Management > Electronic Records System Development & Maintenance)'}",616200,0.0071174377224199285
Credit Counselors,"{'Maintain client account and case records (transactions, notes, correspondence) (Administration & Office > Records Management > Customer Records Management > Customer Interaction & Case Records Maintenance)', 'Develop client budget and debt management plans (Finance & Accounting > Financial Profile Assessment > Client Budget & Debt Management Plan Development)', 'Draft client contracts and written financial advisory documents (Compliance & Legal > Legal Document Drafting & Review > Client Contract & Financial Advisory Document Preparation)', 'Estimate debt repayment timelines based on principal, interest, and available funds (root > Finance & Accounting > Financial Calculations & Reporting > Loan Payment Schedule Calculation)', 'Explain service policies and options to clients (Administration & Office > Customer Service & Issue Resolution > Service Policy Explanation & Client Guidance)', 'Advise clients and respond to inquiries on financial matters across channels (Finance & Accounting > Client Financial Advisory & Inquiry Response)', 'Calculate debt service capacity from client income (Finance & Accounting > Financial Calculations & Reporting > Debt Service Capacity Calculation)', 'Assess client financial profiles (Finance & Accounting > Financial Profile Assessment > Client Financial Profile Review)', 'Prioritize debt repayment strategy to minimize risk and cost (Finance & Accounting > Financial Profile Assessment > Debt Repayment Prioritization Strategy)'}",31800,0.010676156583629894
"Architects, Except Landscape and Naval","{'Create 3D or interactive design representations in CAD (Operations & Logistics > Civil & Structural Design > Architectural & Structural Drafting)', 'Produce architectural designs and scale drawings (CAD) (Operations & Logistics > Civil & Structural Design > Architectural & Structural Drafting)', 'Produce final architectural construction drawings and visualizations (Operations & Logistics > Civil & Structural Design > Final Architectural Construction Documents & Visualizations)', 'Design building structures in compliance with regulations (Operations & Logistics > Civil & Structural Design > RegulatoryCompliant Architectural Design)', 'Gather project sustainability and operational efficiency information (Operations & Logistics > Project Planning & Feasibility > Sustainability & Efficiency Information Gathering)', 'Integrate engineering systems into architectural designs (Operations & Logistics > Civil & Structural Design > Engineering Systems Integration in Architectural Design)', 'Plan structural layout designs (Operations & Logistics > Civil & Structural Design > Structural Layout Planning)', 'Compile architectural design specifications, materials, costs, and schedules (Operations & Logistics > Civil & Structural Design > Design, Materials, Cost & Schedule Documentation (Architecture))', 'Prepare construction contract documents for building contractors (Operations & Logistics > Civil & Structural Design > Construction Contract Document Preparation)'}",123600,0.010676156583629894
Precision Agriculture Technicians,"{'Document and maintain precision agriculture records (Operations & Logistics > Geospatial Interpretation & Navigation > Precision Agriculture Information Records Documentation & Maintenance)', 'Create and analyze GIS maps for precision agriculture data (Operations & Logistics > Geospatial Interpretation & Navigation > Precision Agriculture GIS Mapping & Analysis)', 'Analyze geospatial data for precision agriculture decisions (Operations & Logistics > Geospatial Interpretation & Navigation > Precision Agriculture GIS Mapping & Analysis)', 'Analyze remote sensing imagery for agronomic and environmental relationships (Operations & Logistics > Geospatial Interpretation & Navigation > Remote Sensing Imagery Analysis)', 'Identify spatial coordinates using remote sensing and GPS (Operations & Logistics > Geospatial Interpretation & Navigation > Spatial Coordinate Identification)', 'Create and interpret technical maps (Operations & Logistics > Geospatial Interpretation & Navigation > Precision Agriculture GIS Mapping & Analysis)', 'Program precision agriculture equipment based on field variability data (Operations & Logistics > Geospatial Interpretation & Navigation > Precision Agriculture Equipment Programming & Calibration)'}",18600,0.00830367734282325
Insurance Claims and Policy Processing Clerks,"{'Verify insurance application and policy data (Compliance & Legal > Regulatory Compliance > Insurance Application & Policy Data Verification)', 'Process and record insurance policy and claim entries (Administration & Office > Records Management > Insurance Policy & Claim Processing & Records Entry)', 'Attach documentation to claim files (Administration & Office > Records Management > Correspondence File Attachment & Preparation)', 'Process and submit business or government forms and applications. (Administration & Office > General Office Administration > Forms Completion & Processing)', 'Organize and retrieve digital office or warehouse records (Administration & Office > Records Management > Digital Records Organization & Retrieval)', 'Evaluate policy reinstatement eligibility and approve when criteria met (Compliance & Legal > Regulatory Compliance > Policy Reinstatement Eligibility Review & Approval)', 'Transcribe and enter data into digital worksheets and systems (Administration & Office > Records Management > Data Entry)', 'Write business correspondence (Content & Publishing > Business Correspondence Writing)', 'Calculate insurance claim amounts (Finance & Accounting > Financial Calculations & Reporting > Insurance Claim Amount Calculation)', 'Review insurance documents to assess and process policy changes (Compliance & Legal > Regulatory Compliance > Insurance Application & Policy Data Verification)', 'Retrieve policy cancellation records from files or systems (Administration & Office > Records Management > Digital Records Organization & Retrieval)', 'Correspond with insurance stakeholders to request information and communicate account status updates (Administration & Office > Customer Service & Issue Resolution > Claims Inquiry Response & Outcome Communication)', 'Prepare and review insurance claim documents for completeness (Administration & Office > Records Management > Insurance Claim Documentation Preparation & Completeness Review)', 'Review insurance policies to determine coverage (Compliance & Legal > Regulatory Compliance > Insurance Coverage Review & Determination)', 'Transmit insurance claims for payment or further review (Administration & Office > Records Management > Insurance Claim Submission & Routing)'}",256700,0.017793594306049824
"Eligibility Interviewers, Government Programs","{'Prepare application and enrollment documentation (Administration & Office > Records Management > Application & Enrollment Documentation Preparation)', 'Process assistance eligibility decisions and referrals (Compliance & Legal > Regulatory Compliance > Eligibility Determination & Case Action Initiation)', 'Maintain case records and prepare required reports (Administration & Office > Records Management > Case Records Maintenance & Reporting)', 'Collect, record, and verify applicant personal and financial data for eligibility decisions (root > Compliance & Legal > Regulatory Compliance > Eligibility & Liability Documentation Review)'}",166800,0.004744958481613286
Budget Analysts,"{'Oversee preparation of regular and special budget reports (Finance & Accounting > Budget Management > Budget Reporting Oversight)', 'Analyze budget and accounting reports to control expenditures (Finance & Accounting > Budget Management > Budget Trend Analysis)', 'Analyze operating budget trends (Finance & Accounting > Budget Management > Budget Trend Analysis)', 'Analyze financial records to determine program budget requirements (Finance & Accounting > Budget Management > Program Budget Requirements Analysis)'}",50400,0.004744958481613286
Financial Quantitative Analysts,"{'Provide valuation and data analytics support to researchers and traders (Data & Analytics > Financial Quantitative Analysis > Valuation Data & Analytics Support (Research & Trading))', 'Apply quantitative methods to finance (valuation, trading, risk, regulation) (Data & Analytics > Financial Quantitative Analysis)', 'Produce written summaries of financial research findings (Data & Analytics > Analytics Communications & Enablement)'}",137100,0.0035587188612099642
Telemarketers,"{'Personalize sales scripts to audience needs (Content & Publishing > Sales Script Editing & Personalization)', 'Schedule sales presentations and appointments (Administration & Office > Scheduling & Notifications > Appointment Scheduling)', 'Deliver scripted sales calls to persuade customers or donors (Administration & Office > Customer Service & Issue Resolution > Scripted Sales Call Delivery & Persuasion)', 'Explain product/service features and pricing to customers (Administration & Office > Customer Service & Issue Resolution > Product & Pricing Information Communication)', 'Record prospect contact details and interactions (Administration & Office > Records Management > Customer Records Management > Prospect Contact Records Entry)', 'Collect customer information and enter sales orders (Administration & Office > Records Management > Customer Records Management > Order Intake & Entry)'}",67400,0.0071174377224199285
Credit Analysts,"{'Evaluate loan profitability using borrower financial data (Finance & Accounting > Financial Profile Assessment > Loan Profitability Analysis)', 'Prepare credit risk assessment reports for lending decisions (Finance & Accounting > Financial Profile Assessment > Credit Risk Assessment & Reporting)', 'Calculate financial ratios for credit evaluation (Finance & Accounting > Financial Profile Assessment > Financial Ratio Analysis)', 'Compare financial metrics to peer benchmarks (Finance & Accounting > Financial Profile Assessment > Financial Ratio Analysis)', 'Prepare loan applications with credit analysis and submit for approval (Finance & Accounting > Financial Profile Assessment > Credit & Loan Approval Decisioning & Coordination)', 'Assess lending risk by analyzing credit data and financial statements (Finance & Accounting > Financial Profile Assessment > Credit Risk Assessment & Reporting)'}",67800,0.0071174377224199285
"Production, Planning, and Expediting Clerks","{'Prepare production work instructions, routing, resource requirements, and cost plans (Operations & Logistics > Production Scheduling & Documentation > Production Work Instructions, Routing & Resource/Cost Specification)', 'Record production metrics, materials consumption, and quality measures (Operations & Logistics > Production Operations Monitoring > Production Volume, Materials Consumption & Quality Control Data Recording)', 'Distribute production schedules and work orders across departments (Operations & Logistics > Production Scheduling & Documentation > Production Schedule & Work Order Distribution)', 'Compile production and inventory data for status reports (Operations & Logistics > Production Scheduling & Documentation > Production & Inventory Status Reporting Data Compilation)', 'Plan production schedules using sales forecasts (Operations & Logistics > Production Scheduling & Documentation)', 'Verify shipment details with suppliers (Operations & Logistics > Supplier Communication & Shipment Confirmation)', 'Compile and prepare supply chain and production documentation (Operations & Logistics > Supply Chain Process Documentation)', 'Calculate production resource requirements and costs (Operations & Logistics > Production Cost & Efficiency Analysis)', 'Requisition materials and maintain production inventory (Operations & Logistics > Supply Chain Operations Management > Materials Requisition & Inventory Maintenance)', 'Maintain operational records and files (Administration & Office > Records Management > Operational Records & File Maintenance)', 'Review production documents to determine resource requirements and material priorities (Operations & Logistics > Production Scheduling & Documentation > Production Requirements & Priorities Determination)'}",388800,0.013048635824436536
Molecular and Cellular Biologists,"{'Analyze experimental molecular/cellular data and adjust study design (Data & Analytics > Statistical Analysis > Experimental Data Analysis & Design Iteration)', 'Maintain laboratory data and records (Administration & Office > Records Management > Technical Operations Records)', 'Evaluate emerging technologies to enhance research capabilities (Information Technology > IT Operations > Technology Trends Monitoring & Assessment)', 'Prepare and review scientific reports, manuscripts and presentations (Content & Publishing > Technical Presentations & Reporting > Scientific Publication & Presentation Preparation & Review)', 'Deliver academic instruction in cellular and molecular biology (root > Administration & Office > Academic Advising & Student Support > Academic Instruction & Course Delivery)'}",63700,0.005931198102016607
Accountants and Auditors,"{'Review and analyze accounting records for accuracy and compliance (Finance & Accounting > Accounting Records Review & Compliance Assessment)', 'Analyze operations and financials to project revenues/expenses and provide advice (Finance & Accounting > Financial Profile Assessment > Financial Forecasting & Advisory Analysis)', 'Identify account discrepancies and perform reconciliation (Finance & Accounting > Account Reconciliation)', 'Prepare adjusting journal entries (Finance & Accounting > Bookkeeping & Ledger Maintenance > Adjusting Journal Entries Preparation)', 'Prepare and deliver financial reports to management (Finance & Accounting > Financial Calculations & Reporting > Operational & Risk Reporting Preparation)', 'Evaluate financial and information systems and recommend internal controls (Finance & Accounting > Systems Audit & Internal Controls Evaluation)', 'Calculate tax liabilities using financial valuation methods (Finance & Accounting > Tax Preparation & Filing > Tax Liability Calculation & Financial Valuation)'}",1579800,0.00830367734282325
Customer Service Representatives,"{'Recommend product, packaging, shipping, service, or billing process improvements to prevent issues (Administration & Office > Customer Service & Issue Resolution > Customer Complaint Handling & Corrective Action)', 'Verify issue resolution and confirm corrective actions with customers (Administration & Office > Customer Service & Issue Resolution > Service Resolution Verification & FollowUp)', 'Review insurance policy terms for coverage determination (Compliance & Legal > Regulatory Compliance > Insurance Coverage Review & Determination)', 'Record customer interactions, inquiries, complaints, and resolutions (root > Administration & Office > Records Management > Customer Records Management > Customer Interaction & Case Records Maintenance)', 'Verify returned merchandise and prepare return invoices (Administration & Office > Customer Service & Issue Resolution > Return Merchandise Verification & Invoice Preparation)', 'Process service account updates and discontinuation orders (Administration & Office > Customer Service & Issue Resolution > Service Account Update & Discontinuation Processing)', 'Calculate service charges and process payments or billing (Finance & Accounting > Invoicing & Billing Administration)', 'Resolve customer service and billing complaints with refunds, exchanges, or adjustments (root > Administration & Office > Customer Service & Issue Resolution > Customer Complaint Handling & Corrective Action)', 'Communicate claim outcomes and respond to customer inquiries (Administration & Office > Customer Service & Issue Resolution > Claims Inquiry Response & Outcome Communication)', 'Investigate customer complaints to assess validity and determine causes (Administration & Office > Customer Service & Issue Resolution > Customer Complaint Handling & Corrective Action)', 'Escalate unresolved customer complaints to appropriate departments (Administration & Office > Customer Service & Issue Resolution > Customer Issue Escalation & Referral)'}",2814000,0.013048635824436536
Information Technology Project Managers,"{'Compile and report project status and trends (Information Technology > IT Operations > Operational & Project Progress Reporting)', 'Monitor and track project milestones and deliverables (Information Technology > IT Operations > Project Milestone & Deliverable Tracking)', 'Assess project risks and develop response strategies (Operations & Logistics > Project Planning & Feasibility > Risk Assessment & Response Strategy Development)', 'Submit project deliverables and verify quality compliance (Information Technology > IT Operations > Deliverable Submission & Quality Compliance Verification)', 'Develop and update IT project plans for scope, schedule, and resources (Information Technology > IT Operations > IT Project Plan Development & Maintenance)', 'Assign project personnel responsibilities and authority (Information Technology > IT Operations > IT Team Task Assignment & Review)', 'Manage and approve project plan changes (Information Technology > IT Operations > Project Change Control & Approval)', 'Develop and manage project work breakdown structure (WBS) (Information Technology > IT Operations > IT Project Plan Development & Maintenance)'}",472000,0.009489916963226572
Lawyers,"{'Research and interpret legal authorities for case implications (Compliance & Legal > Legal Research & Interpretation)', 'Analyze case outcomes using legal precedent (Compliance & Legal > Legal Research & Interpretation > Case Outcome Analysis Using Precedents)', 'Draft and review legal documents (Compliance & Legal > Legal Document Drafting & Review)'}",864800,0.0035587188612099642
Public Relations Specialists,"{'Handle media information requests and coordinate spokespersons (Content & Publishing > Media Inquiry Response & Spokesperson Coordination)', 'Write press releases and media communications for client promotion (Content & Publishing > Press Release & Media Communications Writing)', 'Prepare and edit organizational publications (Content & Publishing > Organizational Publications Editing & Production)', 'Publish and update website and social media content (Content & Publishing > Website & Social Media Content Publishing & Maintenance)', 'Develop public relations strategies to influence public opinion (Content & Publishing > Public Relations Strategy Development)'}",315900,0.005931198102016607
Database Administrators,"{'Define and code database schemas and data dictionaries (Information Technology > Database Management > Database Schema Definition & Data Dictionary Coding)', 'Review system workflow charts to interpret automated tasks (Information Technology > Systems Analysis & Solution Design > System Workflow Review & Interpretation)', 'Modify databases and coordinate changes with developers (Information Technology > Database Management > Database Modification & Change Coordination)', 'Test and troubleshoot databases and related programs (Information Technology > Database Management > Database Testing & Troubleshooting)', 'Plan and implement data security controls to protect information. (Information Technology > IT Operations > Data Security & Contingency Plan Development)', 'Define database user roles and access permissions (Information Technology > IT Operations > Data Access Control Administration)'}",78000,0.0071174377224199285
Health Informatics Specialists,"{'Translate clinical practice requirements for system design (Information Technology > Systems Analysis & Solution Design > Clinical Workflow Requirements Translation)', 'Identify, collect, record and analyze clinical nursing care data (Data & Analytics > Clinical Care Data Collection & Analysis)', 'Evaluate IT solutions for applicability to nursing practice, education, administration, and research (Information Technology > Systems Analysis & Solution Design > Health Informatics Application Design & Implementation > Health Informatics Solution Design, Development & Evaluation)', 'Analyze clinical and nursing data to improve care services (Data & Analytics > Clinical Care Data Collection & Analysis)', 'Develop strategies and policies for nursing IT adoption and evaluation (Information Technology > Systems Analysis & Solution Design > Health Informatics Application Design & Implementation > Nursing Informatics Strategy, Policy & Procedure Development)', 'Design, develop, and evaluate health informatics solutions (Information Technology > Systems Analysis & Solution Design > Health Informatics Application Design & Implementation > Health Informatics Solution Design, Development & Evaluation)', 'Design and implement health IT applications using informatics principles (Information Technology > Systems Analysis & Solution Design > Health Informatics Application Design & Implementation)', 'Develop, implement, and evaluate nursing informatics solutions for data management (Information Technology > Systems Analysis & Solution Design > Health Informatics Application Design & Implementation > Health Informatics Solution Design, Development & Evaluation)', 'Provide enduser consultation to nursing staff on hardware/software configuration (Information Technology > IT Support > EndUser Technical Support & Issue Resolution)'}",521100,0.010676156583629894
Management Analysts,"{'Analyze operational data and recommend process solutions (Data & Analytics > Operational Data Analysis & Solution Recommendation)', 'Gather and organize information on processes and problems (Administration & Office > General Office Administration > Process & Procedure Information Gathering & Organization)', 'Plan studies of organizational processes and work problems (Operations & Logistics > Project Planning & Feasibility > Business Process Study Planning)', 'Document study findings and recommend system/procedure changes (Data & Analytics > Operational Data Analysis & Solution Recommendation)'}",1075100,0.004744958481613286
Financial Managers,"{'Monitor and control cash flow and financial instruments (Finance & Accounting > Fiscal Operations Management > Cash & Treasury Operations Oversight)', 'Analyze organizational financial data to assess current/future status (Finance & Accounting > Financial Profile Assessment > Firm Financial Status Analysis & Assessment)', 'Review collections status and outstanding balances (Finance & Accounting > Accounts Receivable & Collections Management > Collections Status Review)', 'Analyze market conditions using transaction and price reports (Data & Analytics > Market Conditions Monitoring)', 'Decide and coordinate approvals for credit and loans (Finance & Accounting > Financial Profile Assessment > Credit & Loan Approval Decisioning & Coordination)', 'Analyze cost data to inform budget planning (Finance & Accounting > Budget Management > Cost Data Evaluation for Budget Planning)', 'Prepare operational and risk reports for management review (Finance & Accounting > Financial Calculations & Reporting > Operational & Risk Reporting Preparation)', 'Prepare mandated financial and regulatory reports (Compliance & Legal > Compliance Reporting & Documentation > Financial & Regulatory Report Preparation)', 'Review and process loan applications (Finance & Accounting > Financial Profile Assessment > Credit & Loan Approval Decisioning & Coordination)'}",868600,0.010676156583629894
Computer Systems Analysts,"{'Modify systems to meet new needs and improve workflows (Information Technology > Systems Analysis & Solution Design > System Modification & Workflow Optimization)', 'Test, maintain, and monitor software systems and coordinate installations (Information Technology > IT Operations > Software Installation & Systems Monitoring)', 'Analyze logs and performance indicators to diagnose and correct code issues (Information Technology > IT Support > Systems Development Technical Support & Troubleshooting)', 'Define system inputs and plan output distribution and use (Information Technology > Systems Analysis & Solution Design > System Input Definition & Output Utilization Planning)', 'Troubleshoot programs and systems to restore normal operation (Information Technology > IT Support > Systems Development Technical Support & Troubleshooting)', 'Analyze computing needs and design information systems (structured analysis, data modeling) (Information Technology > Systems Analysis & Solution Design > Feasibility Assessment & Requirements Analysis)', 'Apply objectoriented and client–server development practices (Information Technology > Systems Analysis & Solution Design > Application Development & Customization)', 'Study technical manuals and reports to inform program and system design (root > Information Technology > Systems Analysis & Solution Design > Technical Literature Review for Solution Design)', 'Design and integrate computerbased business systems for production, inventory, and cost analysis (Information Technology > Systems Analysis & Solution Design > Computer Systems & Software CoDesign)'}",521100,0.010676156583629894
Geographers,"{'Create and edit maps and visualizations using GIS and cartography principles (Operations & Logistics > Geospatial Interpretation & Navigation > Cartographic Map & Visualization Creation (GIS))', 'Develop, operate, and maintain GIS systems and related peripherals (Operations & Logistics > Geospatial Interpretation & Navigation > GIS Systems Development, Operation & Maintenance)', 'Locate and acquire geospatial information databases (Operations & Logistics > Geospatial Interpretation & Navigation > Geospatial Data Source Identification & Acquisition)', 'Analyze regional socioeconomic, political, and cultural characteristics (Data & Analytics > Regional Demographic & Socioeconomic Analysis)'}",1500,0.004744958481613286
Sustainability Specialists,"{'Create and maintain sustainability project plans and documentation (Operations & Logistics > Project Planning & Feasibility > Sustainability Project Plans & Documentation)', 'Develop sustainability performance reports and presentations (Data & Analytics > Resource & Energy Consumption Analysis > Sustainability Indicator Tracking & Reporting)', 'Collect sustainability practice information to support decisions (Operations & Logistics > Project Planning & Feasibility > Sustainability & Efficiency Information Gathering)', 'Evaluate and recommend sustainability initiatives for feasibility and costeffectiveness (root > Operations & Logistics > Project Planning & Feasibility > Sustainability Initiative Feasibility & Recommendation)', 'Support sustainability programs with technical and administrative tasks (Operations & Logistics > Project Planning & Feasibility > Sustainability Program Technical & Administrative Support)', 'Research sustainability regulatory, technical, and market issues (Operations & Logistics > Project Planning & Feasibility > Sustainability & Efficiency Information Gathering)', 'Review and revise sustainability proposals and policies (Operations & Logistics > Project Planning & Feasibility > Sustainability Proposal & Policy Review)', 'Monitor and report sustainability indicators (Data & Analytics > Resource & Energy Consumption Analysis > Sustainability Indicator Tracking & Reporting)'}",1205700,0.009489916963226572
